lote,lote_id,latitude,longitude,station_id,codigo_estacion,unidad_produccion
El Mamon,a8fb7aa0-51ab-4677-a1b4-4719108c8790,9.50405,-69.224655,235225,P15,Don Fonti
Girasol,c4fc1d9d-79b2-4320-a2ad-9be161d2e25e,9.50405,-69.224655,235225,P15,Don Fonti
Guinea,e0061526-8cd5-400f-b0fd-fee43354643b,9.50405,-69.224655,235225,P15,Don Fonti
La Batea,b30d085c-b1a6-4fd6-a04b-471b553ec606,9.50405,-69.224655,235225,P15,Don Fonti
La Ceiba,6633b552-869b-409e-8223-d9515437cdd4,9.50405,-69.224655,235225,P15,Don Fonti
Los Viejos,cc72a029-f9d1-4175-8eb2-39e605c57f02,9.50405,-69.224655,235225,P15,Don Fonti
Tamarindo,5aba2d4e-e4e8-4b06-a86b-bb3a675c551e,9.50405,-69.224655,235225,P15,Don Fonti
Los Reyes 1,889ce451-b97e-4bda-ba18-a8ea5cd9facb,,,,,El Almirante CA
Los Reyes 2,8e844b11-ed19-47e1-bfe1-98ffb670fa7c,,,,,El Almirante CA
Los Reyes 3,781a3436-b3e7-4e39-ab83-42ed9e1e1b46,,,,,El Almirante CA
Los Reyes 4,add0559a-6479-45f4-b765-ce8f52082daa,,,,,El Almirante CA
Los Vaquiros,9dcdbf55-7e2e-4f7e-9aae-16df50844f58,,,,,El Almirante CA
L01 LOTE BAJO DE LOMA,8eed2344-d136-42ee-b3f7-f49bed8402c8,9.28141,-66.45505,186730,G04,El Apamate
L02 LOTE COCO LOMA GRANDE,a4efd631-0c89-4a3d-ac26-f6f5180564f6,9.28141,-66.45505,186730,G04,El Apamate
L03 LOTE LA PIEDRA,099a640e-6c28-4acf-b6d9-305d7cd4bf86,9.28141,-66.45505,186730,G04,El Apamate
L04 LOTE LOCACIÓN A,5f0c51c1-923e-4d29-9a83-eb8850265570,9.28141,-66.45505,186730,G04,El Apamate
L07 LOTE MATA PALO,15c6d03f-2a02-4b12-8a54-81ae17176103,9.28141,-66.45505,186730,G04,El Apamate
Locación B,957c0283-c955-4e84-996c-c7c7929e7af8,9.28141,-66.45505,186730,G04,El Apamate
Ramírez,6c03962d-afab-4407-94c0-084220b91463,9.28141,-66.45505,186730,G04,El Apamate
Las 120 del frente 1,58f30f5d-38dc-4562-ae0a-cc210ea79c3a,,,,,El Encanto
Las 15,a645f030-f241-4d61-8ab5-c8bb42531601,,,,,El Encanto
Las 80 de atrás,171a4e48-1661-46b7-a246-940bced04fb3,,,,,El Encanto
Parcela 62,2e959a4a-0a26-4e40-a96d-2b9345057402,,,,,El Encanto
Parcela 64,9ea1d550-ffd7-45a7-96dd-c65b606f627a,,,,,El Encanto
Costaneros,f55dc471-b9ad-4800-ac8f-676ba61e362d,9.6420355,-66.654366,213735,G05,El Loro
Frijolero Oeste,d359733d-cffe-4298-843e-98528015531d,9.6420355,-66.654366,213735,G05,El Loro
Guillero 1,78f5f315-7fe6-449c-b591-aaaf96a3d4d5,9.6420355,-66.654366,213735,G05,El Loro
Guillero 2,0c5f247f-14a9-456b-9c08-ad395b544af5,9.6420355,-66.654366,213735,G05,El Loro
L01 LOTE SAMANCITO,b281e4c5-89c9-4bd5-8830-bc5614b4b703,9.6420355,-66.654366,213735,G05,El Loro
La Ceiba,ea74468f-e74f-458e-a748-e6975bc9e03f,9.6420355,-66.654366,213735,G05,El Loro
Punta gorda A,da0e68eb-4568-4ad4-85f6-2b89e8a7de22,9.6420355,-66.654366,213735,G05,El Loro
Taladro,54273189-deea-459e-9539-a9a66e106f45,9.6420355,-66.654366,213735,G05,El Loro
Victoriero 1,4fcc3c97-d554-4a32-af2f-df4166ed9d5a,9.6420355,-66.654366,213735,G05,El Loro
Victoriero 2,98469e64-a201-4a2f-b101-35c7011545df,9.6420355,-66.654366,213735,G05,El Loro
El Manguito 1,009d4842-e980-4115-9f83-ef14114be556,9.97843,-69.04178,235420,Y03,El manguito
El Manguito 2,e75f8a42-d927-4ac2-a2a5-12ea3cec8adb,9.97843,-69.04178,235420,Y03,El manguito
El Manguito 3,891969f3-6d3b-40fe-a207-f50eda837f92,9.97843,-69.04178,235420,Y03,El manguito
La Rosa,00ea0e05-0a77-4fbd-995c-7402959cf5ea,9.97843,-69.04178,235420,Y03,El manguito
La Silvera,b84f3a77-03ab-458f-893c-3de6a9de2743,9.97843,-69.04178,235420,Y03,El manguito
Lote de Arriba,98f7bbe0-9db8-4e7c-b850-098bf801aa23,9.97843,-69.04178,235420,Y03,El manguito
Pavi 02,22c4ba7c-f484-4705-b781-2a8cd37a6a64,9.97843,-69.04178,235420,Y03,El manguito
Pavi 1,99bab506-cf69-40e5-8a10-4e3bc9fc62a6,9.97843,-69.04178,235420,Y03,El manguito
L05 La pista 2,82f54117-c200-4a36-b536-557e7b83ec3e,,,,,Finca Camilero
La Casa 1,a436780e-d919-41bb-89fa-d78093d62ed1,,,,,Finca Camilero
La Casa 2,280adb87-ec68-41f8-8e9e-d694f7787e79,,,,,Finca Camilero
La Casa 3,f02afbc7-2fa3-4f46-92f8-5a88a95e0803,,,,,Finca Camilero
La Pista 1,6caaa418-203f-4587-9677-9d1e31ede8da,,,,,Finca Camilero
El Guasimo,0f3e9126-a65d-414f-a4c4-64a768721216,8.66616,-69.994255,235263,B01,Finca La Campesina
El Tanque,0e41533b-87d2-4276-b2dc-cb6d443bdf0b,8.66616,-69.994255,235263,B01,Finca La Campesina
La Ceiba,68de25e0-970c-4e7b-a320-a698b4f6d605,8.66616,-69.994255,235263,B01,Finca La Campesina
La Mariera,dcfd1499-20dd-4342-8a05-e49be9ccc997,8.66616,-69.994255,235263,B01,Finca La Campesina
Los Pepes 1,bd732e00-9929-4122-bda9-d9d6a4320535,8.66616,-69.994255,235263,B01,Finca La Campesina
Los Pepes 2,9ec86aae-f6a9-42e9-b14c-6506fcc30c1b,8.66616,-69.994255,235263,B01,Finca La Campesina
Pelo e Mula,f129db6e-1770-468c-8647-b18c5ecba6a5,8.66616,-69.994255,235263,B01,Finca La Campesina
Revilla 1,b042dd6d-4f09-4db4-a202-7c741ba70aae,8.66616,-69.994255,235263,B01,Finca La Campesina
Revilla 2,96c2be98-1632-46dc-8418-87bc935cc125,8.66616,-69.994255,235263,B01,Finca La Campesina
La Padillera 1,3b144731-86cd-4856-9137-d00b9e69a670,9.495216,-69.24176,235240,P16,Finca La Padillera
Las Coromoticos 1,414243e8-fc22-4d60-86c6-64d2ddeb53d3,9.495216,-69.24176,235240,P16,Finca La Padillera
Las Coromoticos 2,aedead7d-1c51-4a37-956c-22a030327cb8,9.495216,-69.24176,235240,P16,Finca La Padillera
Los Manguitos,51de8ec9-612f-48f0-b790-78414fc4abfa,9.495216,-69.24176,235240,P16,Finca La Padillera
Las 10,32749415-204e-4346-8a37-9fe827d34530,9.22112,-68.87558,235347,P17,Finca Montes de Luna
Las 12,a860e380-8a66-4c52-b476-489917e58aba,9.22112,-68.87558,235347,P17,Finca Montes de Luna
Las 14,d8bd190b-2604-48eb-9832-8065ac8d035e,9.22112,-68.87558,235347,P17,Finca Montes de Luna
Las 15,e0a1c69a-82ba-4d8c-bfe1-15666ef4e38c,9.22112,-68.87558,235347,P17,Finca Montes de Luna
Las 25,2ca4def8-00f3-4a0c-bf50-953e20a60b71,9.22112,-68.87558,235347,P17,Finca Montes de Luna
Las 30,7adbd076-899f-43fa-bb17-d46e4444925b,9.22112,-68.87558,235347,P17,Finca Montes de Luna
Las 36,fddc878d-13d5-4524-b4cc-3fec7d33398f,9.22112,-68.87558,235347,P17,Finca Montes de Luna
Las 40,7201515b-46bd-4f92-b888-5bcd0e6eea91,9.22112,-68.87558,235347,P17,Finca Montes de Luna
"Las 6 + 1,7 + 0,4",12d1cd50-6e79-41b0-bdbe-670820f5c241,9.22112,-68.87558,235347,P17,Finca Montes de Luna
Ciruelo,7eee6a3c-5642-4f54-aa3e-ce0fe307fee8,,,,,Juan Hilario
Cosechadora quemada 1,a3230c98-9e23-4ba9-89a9-bba443c610f1,,,,,Juan Hilario
Cosechadora quemada 2,ad994139-9590-4367-a18b-7f89c983ae89,,,,,Juan Hilario
Cosechadora quemada 3,e772acfa-f1f8-46c3-99d1-7bed9eec4312,,,,,Juan Hilario
Cosechadora quemada 4,9b2dc289-d884-47ab-a882-08ab0eaf989d,,,,,Juan Hilario
Cosechadora quemada 5,0b525207-3849-4ea6-ace9-8a444eaa8b13,,,,,Juan Hilario
Cosechadora quemada 6,348db4e8-93d4-44e0-ab17-6bd08e3d2102,,,,,Juan Hilario
Detrás del galpón 1,b7510e44-eadb-44a2-b383-ea6c995ec47b,,,,,Juan Hilario
Detrás del galpón 2,9cb8168e-5ff8-43c0-9cae-a1664a764017,,,,,Juan Hilario
El Trailer 1,733658b7-c234-4dcd-8f3c-ed0d067b4d42,,,,,Juan Hilario
El Trailer 2,152d51d3-ee0d-48a2-a5d5-acbcd3e9b2ce,,,,,Juan Hilario
El Trailer 3,0eb1a874-179e-4b36-9469-92e98d62c938,,,,,Juan Hilario
El Trailer 4,9d625ed5-2e81-4cbd-9d40-31b051b4ea8e,,,,,Juan Hilario
El Trailer 5,b7721501-84a8-492d-a86c-22d9bf27d7c8,,,,,Juan Hilario
Leo,1553c417-54a1-416e-8d3f-49084f66c5ac,,,,,Juan Hilario
Antonio Gaiza,62786119-617b-4983-bc9f-28b669b1a665,9.96753,-69.05368,235411,Y02,La Ceiba
El Corral,84d788ab-4dac-49fe-900e-899f423d3c29,9.96753,-69.05368,235411,Y02,La Ceiba
El Galpón,83794207-c5d3-45f7-8dea-7975f0b174ea,9.96753,-69.05368,235411,Y02,La Ceiba
Pollera,ea9bdd86-30a3-428e-8378-657edee59cbf,9.96753,-69.05368,235411,Y02,La Ceiba
Parcela 170,25c60eee-d69f-4d8d-acbf-e24d232566b8,9.31064,-69.10249,212609,P08,La Colina
Parcela 171-172,d26a8175-7918-484f-afe4-bcfa19a83185,9.31064,-69.10249,212609,P08,La Colina
El Porvenir,4a9d0b47-8b81-4bac-bfee-5fca325aac50,9.270751,-65.58421,238350,G11,La Graciosa
La Palmita 1,20157979-7a4b-48d9-a7c6-f4a75e602c7f,9.270751,-65.58421,238350,G11,La Graciosa
La Palmita 2,b140e14c-43ec-43f2-b852-fd22dcff80e9,9.270751,-65.58421,238350,G11,La Graciosa
Los Morochos,32201316-debd-4eaf-a3d6-98444a4900e2,9.270751,-65.58421,238350,G11,La Graciosa
Magallanes,be11b6b9-01c3-410c-95e0-9d11df353efc,9.270751,-65.58421,238350,G11,La Graciosa
Betsi,332a5b09-6066-4793-b8e7-cbfa23857372,10.18139,-68.95663,235597,Y04,La vaquera
Caro caro 1,8dd3e28d-2029-463e-8b79-8620b90e4ba9,10.18139,-68.95663,235597,Y04,La vaquera
Grande,60a98156-36f8-4ff5-b423-c486a6febc05,10.18139,-68.95663,235597,Y04,La vaquera
La Entrada,b9e2e7ea-6831-46ad-801b-9c8960afc0dd,10.18139,-68.95663,235597,Y04,La vaquera
Las 3 ha,39434e2e-460f-4a9a-bde7-5fc68435994a,10.18139,-68.95663,235597,Y04,La vaquera
Las Torres,d214f04d-8808-4eda-9f30-acbf4fcb274f,10.18139,-68.95663,235597,Y04,La vaquera
Los Aguacates,9dcf22c2-05bc-4245-8208-debe4a2d6105,10.18139,-68.95663,235597,Y04,La vaquera
Lote 1,58930a46-28d1-4153-a425-5041d3e0694d,10.18139,-68.95663,235597,Y04,La vaquera
Lucas,40497e37-11a5-40c2-bd1f-00ad544d6607,10.18139,-68.95663,235597,Y04,La vaquera
Neco,9c3b9f56-6143-4420-a685-fbee350cc01f,10.18139,-68.95663,235597,Y04,La vaquera
Willi,a1e2db0a-7600-488e-8dc1-856cff5cb84d,10.18139,-68.95663,235597,Y04,La vaquera
L01 LOTE 1A,21354b7b-4e5e-4d94-a76d-303882311642,9.27254,-69.15076,212695,P10,Las Cupulas
L02 LOTE 1B,a9ba524c-81d9-404f-8d5f-067aa10988f6,9.27254,-69.15076,212695,P10,Las Cupulas
L06 LOTE-04,ffbf2b7b-cfb6-4a97-a959-b31cc0a04dd7,9.27254,-69.15076,212695,P10,Las Cupulas
L07 LOTE-05,8982bf78-f197-4170-9026-e58f752a51ee,9.27254,-69.15076,212695,P10,Las Cupulas
L08 LOTE-06,46a27a1e-dff3-4415-bdc0-fbfb18d94d22,9.27254,-69.15076,212695,P10,Las Cupulas
L09 LOTE-07,22b7966f-1f56-4d15-bfdc-3dfa6dbbc8bb,9.27254,-69.15076,212695,P10,Las Cupulas
L10 LOTE-08,24bd0cbb-0814-4774-bb5a-6e9c2f9fc955,9.27254,-69.15076,212695,P10,Las Cupulas
L11 LOTE-09,f8302450-521e-4ecf-bcf9-80849b89390f,9.27254,-69.15076,212695,P10,Las Cupulas
Villa Marina 2,d3084104-dc18-4db9-bed3-34856f70877a,9.27254,-69.15076,212695,P10,Las Cupulas
Villa Marina 3,19fb02c0-9102-4a92-832e-68cc39dad695,9.27254,-69.15076,212695,P10,Las Cupulas
El Galpón,41c9f08f-79c8-43e3-a36f-4391e3f3bd62,8.99576,-65.51944,186669,G02,Los Espinitos
El Muerto,fa74d088-e208-4b65-9f03-d3469b9e19b8,8.99576,-65.51944,186669,G02,Los Espinitos
Agua Viva,d0ca6fc1-2dda-4c51-ace9-6e7b37d1cc04,10.0489,-69.07636,238060,Y06,Acentamiento campesino El rodeo
El Galpón,04c3a825-6653-4fa9-a1e3-3eba110cb9e7,10.0489,-69.07636,238060,Y06,Acentamiento campesino El rodeo
El Jobo,1e0c953d-1d97-4f25-aded-cbb504372949,10.0489,-69.07636,238060,Y06,Acentamiento campesino El rodeo
La Galindera 1,c694a685-5690-4081-ba89-4f4babbf7bec,10.0489,-69.07636,238060,Y06,Acentamiento campesino El rodeo
La Galindera 2,7826e623-d598-4bdc-a007-1e059b10aab7,10.0489,-69.07636,238060,Y06,Acentamiento campesino El rodeo
La Galindera 3,2a3b32fa-662b-4f06-86f5-36ac43b96d33,10.0489,-69.07636,238060,Y06,Acentamiento campesino El rodeo
La Galindera 4,d18cdedd-1533-4bb7-9970-a90dcd631787,10.0489,-69.07636,238060,Y06,Acentamiento campesino El rodeo
Las Carmelitas 1,802ed6c6-d11b-42a7-8c10-f02df070cd3d,10.0489,-69.07636,238060,Y06,Acentamiento campesino El rodeo
Las Carmelitas 2,7fcc70cf-2db8-40d6-9469-3f6416527f13,10.0489,-69.07636,238060,Y06,Acentamiento campesino El rodeo
Las Carmelitas 3,49e4abc9-6ccd-4584-89cf-e9aa5ec963f3,10.0489,-69.07636,238060,Y06,Acentamiento campesino El rodeo
Los Generales,647f85f2-795a-41e3-83d1-d8524482c807,10.0489,-69.07636,238060,Y06,Acentamiento campesino El rodeo
La Laguna,ac26d637-1354-4f4e-bc5f-213f47e00755,9.31064,-69.10249,212609,P08,Agropecuaria Alma
La Mora,8543a640-bab6-490e-95e5-d51977616414,9.31064,-69.10249,212609,P08,Agropecuaria Alma
LAS 35,6dd3c518-edab-4522-aa03-9e0f94bbbfe1,9.31064,-69.10249,212609,P08,Agropecuaria Alma
LOTE-01,61f84380-ee6e-4215-be7f-4dcf2999f3e2,9.31064,-69.10249,212609,P08,Agropecuaria Alma
LOTE-02,88a4cd40-a342-4261-a568-02d2da16730e,9.31064,-69.10249,212609,P08,Agropecuaria Alma
LOTE-03,50d591bf-7d43-4cf1-8d33-45f5b4cbc9f4,9.31064,-69.10249,212609,P08,Agropecuaria Alma
LOTE-04,43e91c42-7bb0-4c8b-b5af-a1adf3e96410,9.31064,-69.10249,212609,P08,Agropecuaria Alma
