station_id,fecha_hora_dia,temp_c,temp_max_c,temp_min_c,hum_pct,hum_max_pct,hum_min_pct,lluvia_mm,tasa_lluvia_mm_h,radiacion_w_m2,radiacion_max_w_m2,viento_avg_kmh,viento_max_kmh,dir_viento,punto_rocio_c,barometro_inhg,et_mm,ts,fecha_hora,n_lecturas
184965,2026-05-26,,,,,,,1.4,0.12,273.2,993.0,4.44,30.6,5.33,,,4.41,1779839100,2026-05-26 23:45:00,96
184965,2026-05-27,,,,,,,1.0,0.09,174.65,856.0,2.47,32.2,8.84,,,2.92,1779925500,2026-05-27 23:45:00,96
184965,2026-05-28,,,,,,,0.0,0.0,130.38,603.0,2.47,19.3,8.96,,,2.07,1780011900,2026-05-28 23:45:00,96
184965,2026-05-29,,,,,,,0.6,0.12,247.9,898.0,3.24,24.1,6.94,,,4.17,1780098300,2026-05-29 23:45:00,96
184965,2026-05-30,,,,,,,0.2,0.0,208.14,1053.0,1.72,24.1,6.95,,,3.58,1780184700,2026-05-30 23:45:00,96
184965,2026-05-31,,,,,,,23.0,2.64,223.63,912.0,2.37,59.5,6.16,,,3.57,1780271100,2026-05-31 23:45:00,96
184965,2026-06-01,,,,,,,0.0,0.0,212.89,1035.0,2.35,22.5,6.02,,,3.54,1780357500,2026-06-01 23:45:00,96
184965,2026-06-02,,,,,,,10.6,2.26,160.67,967.0,3.75,37.0,5.13,,,2.6,1780443900,2026-06-02 23:45:00,96
184965,2026-06-03,,,,,,,4.2,0.23,116.49,538.0,2.26,25.7,5.48,,,1.79,1780530300,2026-06-03 23:45:00,96
184965,2026-06-04,,,,,,,5.2,0.59,173.0,552.0,4.55,24.1,5.24,,,1.62,1780616700,2026-06-04 23:45:00,48
184965,2026-06-05,,,,,,,23.4,2.36,119.44,638.0,1.68,16.1,4.19,,,1.78,1780703100,2026-06-05 23:45:00,96
184965,2026-06-06,,,,,,,0.0,0.0,240.32,1069.0,1.33,12.9,7.7,,,3.82,1780789500,2026-06-06 23:45:00,96
184965,2026-06-07,,,,,,,15.2,1.91,112.68,624.0,1.45,41.8,8.37,,,1.6,1780875900,2026-06-07 23:45:00,96
184965,2026-06-08,,,,,,,7.8,2.81,199.6,963.0,2.17,19.3,6.04,,,3.13,1780962300,2026-06-08 23:45:00,96
184965,2026-06-09,,,,,,,0.0,0.0,273.67,983.0,1.68,14.5,7.62,,,4.42,1781048700,2026-06-09 23:45:00,96
184965,2026-06-10,,,,,,,0.0,0.0,242.73,1005.0,2.25,19.3,7.78,,,3.93,1781135100,2026-06-10 23:45:00,96
184965,2026-06-11,,,,,,,5.2,1.2,110.63,860.0,1.37,16.1,8.21,,,1.71,1781221500,2026-06-11 23:45:00,96
184965,2026-06-12,,,,,,,0.0,0.0,197.36,1223.0,2.29,24.1,5.42,,,3.25,1781307900,2026-06-12 23:45:00,96
184965,2026-06-13,,,,,,,0.0,0.0,290.16,875.0,3.16,24.1,3.36,,,4.83,1781394300,2026-06-13 23:45:00,96
184965,2026-06-14,,,,,,,0.0,0.0,268.26,937.0,1.78,17.7,8.23,,,4.4,1781480700,2026-06-14 23:45:00,96
184965,2026-06-15,,,,,,,0.0,0.0,189.95,1042.0,3.21,25.7,6.07,,,3.05,1781567100,2026-06-15 23:45:00,96
184965,2026-06-16,,,,,,,1.0,0.09,172.48,954.0,1.72,22.5,7.07,,,2.64,1781653500,2026-06-16 23:45:00,96
184965,2026-06-17,,,,,,,0.0,0.0,197.65,977.0,1.52,16.1,3.8,,,3.13,1781739900,2026-06-17 23:45:00,96
184965,2026-06-18,,,,,,,39.6,7.52,204.24,997.0,1.57,33.8,6.56,,,3.29,1781826300,2026-06-18 23:45:00,96
184965,2026-06-19,,,,,,,11.8,3.28,186.67,988.0,1.97,20.9,7.98,,,2.62,1781912700,2026-06-19 23:45:00,96
184965,2026-06-20,,,,,,,7.8,1.1,274.03,1018.0,1.38,14.5,8.5,,,4.1,1781999100,2026-06-20 23:45:00,96
184965,2026-06-21,,,,,,,0.0,0.0,291.8,960.0,1.72,17.7,8.1,,,4.57,1782085500,2026-06-21 23:45:00,96
184965,2026-06-22,,,,,,,0.4,0.0,238.7,1092.0,1.78,20.9,7.4,,,3.79,1782171900,2026-06-22 23:45:00,96
184965,2026-06-23,,,,,,,0.0,0.0,293.28,919.0,2.23,12.9,10.59,,,4.76,1782258300,2026-06-23 23:45:00,96
184965,2026-06-24,,,,,,,3.6,0.56,227.62,1014.0,2.2,17.7,10.81,,,3.82,1782344700,2026-06-24 23:45:00,96
184965,2026-06-25,,,,,,,2.8,0.13,233.86,939.0,1.48,14.5,7.61,,,3.36,1782431100,2026-06-25 23:45:00,96
184965,2026-06-26,,,,,,,0.0,0.0,284.14,940.0,1.4,14.5,4.67,,,4.5,1782517500,2026-06-26 23:45:00,96
184965,2026-06-27,,,,,,,0.0,0.0,251.11,1107.0,1.38,12.9,8.53,,,4.13,1782603900,2026-06-27 23:45:00,96
184965,2026-06-28,,,,,,,7.6,1.36,122.95,740.0,1.67,17.7,8.07,,,1.94,1782690300,2026-06-28 23:45:00,96
184965,2026-06-29,,,,,,,0.0,0.0,258.94,1034.0,1.57,19.3,5.2,,,4.14,1782776700,2026-06-29 23:45:00,96
184965,2026-06-30,,,,,,,0.0,0.0,158.74,745.0,2.21,19.3,7.7,,,2.56,1782863100,2026-06-30 23:45:00,96
184965,2026-07-01,,,,,,,6.8,1.6,184.55,997.0,0.9,14.5,8.91,,,2.75,1782949500,2026-07-01 23:45:00,96
